ID	SCIENTIFIC_NAME	ID_NCBI	Phylum
NFUS1	Neochildia fusca	66402	ACOELA
CSUB1	Childia submaculatum	243778	ACOELA
CNAI1	Convoluta (Praesagittifera) naikaiensis	31270	ACOELA
DLON1	Diopisthoporus longitubus	996724	ACOELA
HMIA1	Hofstenia miamia	442651	ACOELA
IPUL1	Isodiametra pulchra	504439	ACOELA
PRUB1	Paratomella rubra	90914	ACOELA
SYRO2	Symsagittifera roscoffensis	84072	ACOELA
HCAR1	Hermodice carunculata	259844	ANNELIDA
PCAL1	Pareurythoe californica	1633897	ANNELIDA
GVUL1	Golfingia vulgaris	210797	ANNELIDA
PGOU1	Phascolopsis gouldii	6442	ANNELIDA
PAGA1	Phascolosoma agassizii	360543	ANNELIDA
PHGR1	Phascolosoma granulatum	41797	ANNELIDA
SNUD1	Sipunculus nudus	6446	ANNELIDA
PBAL1	Psammodrilus balanoglossoides	1977847	ANNELIDA
CHAE1	Chaetopterus sp. SL-2014	1570313	ANNELIDA
CVAR1	Chaetopterus variopedatus	34590	ANNELIDA
MMIN1	Mesochaetopterus minutus	1723709	ANNELIDA
PHYL1	Phyllochaetopterus sp. KMH-2014	1490214	ANNELIDA
DGYR1	Dimorphilus gyrociliatus	2664684	ANNELIDA
TAXI1	Trilobodrilus axi	188474	ANNELIDA
MPIT1	Magelona pitelkai	1653079	ANNELIDA
MHEE1	Myriochele heeri	1977846	ANNELIDA
OFUS1	Owenia fusiformis	6347	ANNELIDA
HRPE1	Hrabeiella periglandulata	152469	ANNELIDA
AEOL1	Aeolosoma sp.	55817	ANNELIDA
CMAT1	Carpetania elisae	452200	ANNELIDA
NNAJ1	Norana najaformis	991102	ANNELIDA
EAND1	Eisenia andrei	168636	ANNELIDA
MVUL1	Metaphire vulgaris	1196096	ANNELIDA
ECRY2	Enchytraeus crypticus	913645	ANNELIDA
PVOL1	Propappus volki	251477	ANNELIDA
DLER1	Delaya leruthi	1963245	ANNELIDA
PELO1	Pelodrilus sp. HAPS2	1963180	ANNELIDA
CYCO1	Cylicobdellidae sp. DSW-2020	2705382	ANNELIDA
HROB1	Helobdella robusta	6412	ANNELIDA
WPIG1	Whitmania pigra	486152	ANNELIDA
HMED1	Hirudo medicinalis 	6421	ANNELIDA
PHAG1	Phagodrilus sp. DSW-2020	2705235	ANNELIDA
SHER1	Stylodrilus heringianus	77571	ANNELIDA
TSTR1	Trichodrilus strandi	1736119	ANNELIDA
DRAW1	Drawida sp. KH-2017	1963188	ANNELIDA
PMEY1	Parvidrilus meyssonnieri	1171980	ANNELIDA
RAND1	Randiella sp. DSW-2020	2705241	ANNELIDA
AUJA1	Aulodrilus japonicus	2020002	ANNELIDA
BASP1	Bathydrilus sp. DSW-2020	2705229	ANNELIDA
BVEJ1	Bothrioneurum vejdovskyanum	188204	ANNELIDA
CDIA1	Chaetogaster diaphanus	212246	ANNELIDA
OLAV1	Olavius sp. CE14538	2562122	ANNELIDA
PASP1	Paranais sp. DSW-2020	2705234	ANNELIDA
